date,ff0,ff1,ff2
3/1/2014,0.135,0.805,1.915
6/1/2014,0.14,0.67,1.65
9/1/2014,0.09,0.77,1.845
12/1/2014,0.1225,0.61,1.54
3/1/2015,0.39,1.095,1.625
6/1/2015,0.295,1.03,1.725
9/1/2015,0.205,0.655,1.125
12/1/2015,0.24,0.89,1.43
3/1/2016,0.535,0.715,0.945
6/1/2016,0.365,0.465,0.64
9/1/2016,0.485,0.69,0.805
12/1/2016,0.535,1.12,1.61
3/1/2017,1.255,1.68,1.97
6/1/2017,1.26,1.55,1.75
9/1/2017,1.25,1.59,1.75
12/1/2017,1.3,1.88,2.065
3/1/2018,2.075,2.435,2.515
6/1/2018,2.165,2.6,2.645
9/1/2018,2.255,2.81,2.825
12/1/2018,2.275,2.395,2.185
3/1/2019,2.185,1.89,1.86
6/1/2019,1.705,1.32,1.35
9/1/2019,1.68,1.215,1.15
12/1/2019,1.5525,1.4,1.38
3/1/2020,0.07,0.11,0.235
6/1/2020,0.035,-0.015,0.005
9/1/2020,0.075,0.03,0.02
12/1/2020,0.0875,0.08,0.125
3/1/2021,0.085,0.265,0.4
6/1/2021,0.09,0.325,0.795
9/1/2021,0.075,0.3,0.755
12/1/2021,0.08,0.76,1.365
3/1/2022,2.245,2.895,2.585
6/1/2022,3.27,2.935,2.705
9/1/2022,4.01,4.26,4.035
12/1/2022,4.1025,4.645,3.64
3/1/2023,4.41,3.29,3.28
6/1/2023,5.39,4.16,3.95
9/1/2023,5.41,4.72,4.28
12/1/2023,5.33,4.84,3.2
3/1/2024,4.29,3.99,3.71
6/1/2024,4.99,4.01,3.99
9/1/2024,4.34,2.97,2.99
12/1/2024,4.48,3.91,3.69
3/1/2025,3.63,3.24,3.51
6/1/2025,3.73,3.07,3.2
9/1/2025,3.72,3.04,3.18
